obs,period,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
1187,178,5.95,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,318.2,329.3,99,253.7,0,0,0,0,0,0,0,429.365,100
1188,179,1.02,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,547.071,100
1189,179,2,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,519.22,100
1190,179,2.96,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,424.219,100
1191,179,3.95,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,396.383,100
1192,179,4.96,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,431.29100000000005,100
1193,179,5.95,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,324.133,100
1194,180,1.02,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,749.7360000000001,100
1195,180,2,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,888.17,100
1196,180,2.96,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,830.875,100
1197,180,3.95,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,597.922,100
1198,180,4.96,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,522.6410000000001,100
1199,180,5.95,-12.3,-7.1,-3,2.5,7.7,11.8,14.1,13.4,9.4,3.8,-2.9,-8,512.9000000000001,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,373.99399999999997,100
1200,181,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,779.3720000000001,100
1201,181,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,755.072,100
1202,181,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,829.459,100
1203,181,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,713.1229999999999,100
1204,181,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,756.701,100
1205,181,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,313.5,371.5,67.4,247.7,0,0,0,0,0,0,0,708.914,100
1206,182,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,917.6189999999999,100
1207,182,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,905.4380000000001,100
1208,182,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,973.458,100
1209,182,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,942.154,100
1210,182,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,980.281,100
1211,182,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,391.4,112.7,114.9,381.1,0,0,0,0,0,0,0,901.513,100
1212,183,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,909.946,100
1213,183,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,896.195,100
1214,183,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,946.802,100
1215,183,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,860.162,100
1216,183,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,870.964,100
1217,183,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,444.4,122.5,109.6,323.7,0,0,0,0,0,0,0,817.076,100
1218,184,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,865.009,100
1219,184,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,802.616,100
1220,184,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,841.475,100
1221,184,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,804.748,100
1222,184,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,809.332,100
1223,184,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,385.3,206.8,113.7,294.3,0,0,0,0,0,0,0,642.285,100
1224,185,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,768.834,100
1225,185,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,722.5939999999999,100
1226,185,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,775.223,100
1227,185,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,686.4350000000001,100
1228,185,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,752.631,100
1229,185,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,365.7,383.9,94.8,155.7,0,0,0,0,0,0,0,638.513,100
1230,186,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,835.668,100
1231,186,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,777.299,100
1232,186,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,895.4680000000001,100
1233,186,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,800.153,100
1234,186,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,827.142,100
1235,186,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,435.6,156.4,71.5,336.6,0,0,0,0,0,0,0,781.901,100
1236,187,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,861.83,100
1237,187,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,902.869,100
1238,187,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,997.2729999999999,100
1239,187,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,886.1709999999999,100
1240,187,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,918.0690000000001,100
1241,187,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,484.8,138.1,77.6,299.6,0,0,0,0,0,0,0,867.201,100
1242,188,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,799.7230000000001,100
1243,188,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,884.992,100
1244,188,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,928.4399999999999,100
1245,188,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,848.647,100
1246,188,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,889.4670000000001,100
1247,188,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,318.2,329.3,99,253.7,0,0,0,0,0,0,0,869.993,100
1248,189,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,589.306,100
1249,189,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,551.588,100
1250,189,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,562.35,100
1251,189,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,412.79200000000003,100
1252,189,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,485.894,100
1253,189,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,638.8,140.5,98.9,121.9,0,0,0,0,0,0,0,421.78400000000005,100
1254,190,0.89,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,787.9200000000001,100
1255,190,2,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,978.446,100
1256,190,2.98,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,858.759,100
1257,190,3.94,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,755.047,100
1258,190,4.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,786.6679999999999,100
1259,190,5.93,-20.7,-13.2,-8.2,0.3,6.7,12,14.1,12.5,7.5,0.6,-8.8,-16.6,261.20000000000005,526.4,96.9,24.2,352.6,0,0,0,0,0,0,0,808.018,100
