period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
2,21,0.589041095890411,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,434.544,52.672,46.087999999999994,289.69599999999997,32.92,8.23,16.46,32.92
2,22,0.8876712328767123,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,408.044,39.884,44.486000000000004,274.586,30.68,7.67,15.34,30.68
2,23,1.0136986301369864,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,379.822,38.054,50.26,249.86399999999998,28.72,7.18,14.36,28.72
2,24,1.515068493150685,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,355.272,39.324,43.391999999999996,240.01199999999997,27.119999999999997,6.779999999999999,13.559999999999999,27.119999999999997
2,25,2.052054794520548,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,289.432,26.312000000000005,41.75600000000001,214.50000000000003,22.880000000000003,5.720000000000001,11.440000000000001,22.880000000000003
2,26,3.0136986301369864,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,495,145,84,276,0,0,0,0,0,0,0,177.656,25.558999999999997,38.967,176.81799999999998,16.759999999999998,4.1899999999999995,8.379999999999999,16.759999999999998
3,28,0.5013698630136987,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,500.68800000000005,54.72,65.664,290.928,36.480000000000004,9.120000000000001,18.240000000000002,36.480000000000004
3,29,0.6931506849315069,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,490.257,44.65,64.296,293.797,35.72,8.93,17.86,35.72
3,30,0.8273972602739726,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,469.752,44.251999999999995,57.016999999999996,279.979,34.04,8.51,17.02,34.04
3,31,1.0383561643835617,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,439.473,37.872,44.973,266.682,31.560000000000002,7.890000000000001,15.780000000000001,31.560000000000002
3,32,1.5945205479452054,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,347.295,54.115,52.06,231.53000000000003,27.400000000000002,6.8500000000000005,13.700000000000001,27.400000000000002
3,33,2,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,483,172,107,238,0,0,0,0,0,0,0,249.75000000000003,34.965,53.28,217.00500000000002,22.200000000000003,5.550000000000001,11.100000000000001,22.200000000000003
4,36,0.8356164383561644,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,402.192,79.184,61.152,241.472,31.36,7.84,15.68,31.36
4,37,0.958904109589041,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,369.705,63.21,64.67999999999999,237.405,29.4,7.35,14.7,29.4
4,38,1.526027397260274,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,318.5,47.45,43.550000000000004,240.5,26,6.5,13,26
4,39,1.8027397260273972,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,239.03,29.150000000000002,39.75,222.07000000000002,21.200000000000003,5.300000000000001,10.600000000000001,21.200000000000003
4,40,1.9287671232876713,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,227.841,22.836000000000002,52.938,215.38500000000002,20.76,5.19,10.38,20.76
4,41,2.547945205479452,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,201.92399999999998,20.381999999999998,43.608,208.08599999999998,18.96,4.74,9.48,18.96
4,42,2.989041095890411,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,163.608,14.837000000000002,45.313,177.24200000000002,16.04,4.01,8.02,16.04
4,43,3.96986301369863,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,535,151,89,225,0,0,0,0,0,0,0,122.2,12.35,33.800000000000004,156.65,13,3.25,6.5,13
6,51,0.5671232876712329,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,285.57199999999995,37.50599999999999,32.242,302.67999999999995,26.319999999999997,6.579999999999999,13.159999999999998,26.319999999999997
6,52,0.8438356164383561,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,262.2,24,25.8,288,24,6,12,24
6,53,0.9698630136986301,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,250.79999999999998,23.369999999999997,21.09,274.73999999999995,22.799999999999997,5.699999999999999,11.399999999999999,22.799999999999997
6,54,1.5890410958904109,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,239.12000000000003,20.160000000000004,14.000000000000002,286.72,22.400000000000002,5.6000000000000005,11.200000000000001,22.400000000000002
6,55,1.841095890410959,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,224.64000000000001,26.52,9.88,258.96000000000004,20.8,5.2,10.4,20.8
6,56,2.03013698630137,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,213.256,17.08,16.104,241.56,19.52,4.88,9.76,19.52
6,57,2.5671232876712327,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,179.112,23.267,16.243,220.37800000000001,17.56,4.39,8.78,17.56
6,58,2.8493150684931505,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,161.986,17.91,19.104,198.99999999999997,15.919999999999998,3.9799999999999995,7.959999999999999,15.919999999999998
6,59,3.010958904109589,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,153.55,13.69,14.8,187.96,14.8,3.7,7.4,14.8
6,60,3.5726027397260274,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,155.66000000000003,14.118000000000002,9.05,183.17200000000003,14.480000000000002,3.6200000000000006,7.240000000000001,14.480000000000002
6,61,4,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,360,321,56,263,0,0,0,0,0,0,0,144.97399999999996,13.839999999999996,12.109999999999998,175.07599999999996,13.839999999999996,3.459999999999999,6.919999999999998,13.839999999999996
8,66,0.5780821917808219,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,472,180,102,246,0,0,0,0,0,0,0,368.775,48.675,95.69999999999999,311.84999999999997,33,8.25,16.5,33
8,67,1.0246575342465754,-7.3,-6.6,-3.1,2.5,8.6,13,15.5,13.8,9.1,3.7,-0.8,-4.1,671,472,180,102,246,0,0,0,0,0,0,0,363.15500000000003,36.995,61.155,293.695,30.2,7.55,15.1,30.2
